,Candidate Id,Candidate Name,Candidate Office,Candidate Office State,Candidate Office District,Candidate Party Affiliation,Candidate Incumbent Challenger Open Seat,Net Contribution,Net Operating Expenditure,Winner_binary,Cash on Hand Beginning of Period,Cash on Hand Close of Period,Individual Itemized Contribution,Individual Unitemized Contribution,Individual Contribution,Electorate,rank_netExpenditure,rank_UnItemizedContribution,rank_ItemizedContribution
349,H6AK00045,"YOUNG, DONALD E",H,AK,0.0,REP,INCUMBENT,1051122.03,1145563.6,1,488220.12,390426.44,587331.16,42336.88,629668.04,AK-0.0,1.0,1.0,1.0
1813,H6AK00235,"LINDBECK, STEVE",H,AK,,DEM,,876316.81,792150.89,0,0.0,64115.92,565061.72,253561.59,818623.31,AK-nan,1.0,1.0,1.0
1254,H4AL01123,"BYRNE, BRADLEY ROBERTS",H,AL,1.0,REP,INCUMBENT,1308702.77,941648.85,1,251598.84,506854.31,455150.0,30652.77,485802.77,AL-1.0,1.0,1.0,1.0
332,H0AL02087,"ROBY, MARTHA",H,AL,2.0,REP,INCUMBENT,1302073.85,1304536.82,1,491726.24,224263.27,481553.24,53578.64,535131.88,AL-2.0,1.0,2.0,1.0
816,H6AL02142,"GERRITSON, REBECCA (BECKY)",H,AL,2.0,REP,CHALLENGER,203258.38,203258.38,0,0.0,0.0,118520.24,62351.56,180871.8,AL-2.0,2.0,1.0,2.0
1122,H6AL02159,"ROGERS, ROBERT L",H,AL,2.0,REP,CHALLENGER,10.0,50187.0,0,0.0,0.0,0.0,0.0,0.0,AL-2.0,3.0,3.0,3.0
184,H2AL03032,"ROGERS, MICHAEL DENNIS",H,AL,3.0,REP,INCUMBENT,1078677.0,806683.14,1,457814.01,565465.07,413625.0,11602.0,425227.0,AL-3.0,1.0,1.0,1.0
1166,H6AL03157,"DICHIARA, LARRY",H,AL,3.0,REP,CHALLENGER,17718.04,67148.66,0,0.0,-2356.98,11378.5,6339.54,17718.04,AL-3.0,2.0,2.0,2.0
657,H4AL03061,"SMITH, JESSE TREMAIN",H,AL,3.0,DEM,CHALLENGER,9678.0,6818.0,0,0.0,482.0,3411.0,6267.0,9678.0,AL-3.0,3.0,3.0,3.0
1243,H6AL04098,"ADERHOLT, ROBERT BROWN",H,AL,4.0,REP,INCUMBENT,1345664.38,1315647.12,1,418937.87,450174.29,419557.21,33699.44,453256.65,AL-4.0,1.0,1.0,1.0
1084,H6AL04148,"NORRIS, PHILLIP",H,AL,4.0,REP,CHALLENGER,3549.69,3550.0,0,0.0,0.0,0.0,105.0,105.0,AL-4.0,2.0,2.0,2.0
121,H0AL05163,"BROOKS, MO",H,AL,5.0,REP,INCUMBENT,449975.21,86637.98,1,814436.28,1175733.72,206141.0,4351.0,210492.0,AL-5.0,1.0,2.0,1.0
434,H6AL05202,"BOYD, WILLIE WILL"" DR. JR.""",H,AL,5.0,DEM,CHALLENGER,52983.73,54923.85,0,0.0,983.08,19153.0,11488.75,30641.75,AL-5.0,2.0,1.0,2.0
27,H4AL06098,"PALMER, GARY",H,AL,6.0,REP,INCUMBENT,1175074.52,451946.24,1,189712.5,781799.96,896800.0,11360.52,908160.52,AL-6.0,1.0,1.0,1.0
626,H6AL06127,"PUTMAN, DAVID",H,AL,6.0,DEM,CHALLENGER,7645.0,56333.96,0,0.0,-13127.42,6175.0,1444.0,7619.0,AL-6.0,2.0,2.0,2.0
1305,H0AL07086,"SEWELL, TERRYCINA ANDREA",H,AL,7.0,DEM,INCUMBENT,1508980.19,597591.8,1,421463.72,940391.85,311782.5,18997.69,330780.19,AL-7.0,1.0,1.0,1.0
1264,H0AR01083,"CRAWFORD, ERIC ALAN RICK",H,AR,1.0,REP,INCUMBENT,635321.88,386682.88,1,398030.53,310724.61,229883.63,21755.0,251638.63,AR-1.0,1.0,1.0,1.0
229,H4AR02141,"HILL, JAMES FRENCH",H,AR,2.0,REP,INCUMBENT,2051232.07,1323692.33,1,49251.83,802028.69,1147270.71,43628.67,1190899.38,AR-2.0,1.0,1.0,1.0
466,H6AR02245,"CURRY, DIANNE",H,AR,2.0,DEM,CHALLENGER,22358.88,20957.87,0,0.0,-1366.37,12035.0,10073.88,21608.88,AR-2.0,2.0,2.0,2.0
1151,H6AR02252,"OLREE, BROCK",H,AR,2.0,REP,CHALLENGER,2995.38,17779.49,0,0.0,215.89,129.06,319.04,448.1,AR-2.0,3.0,3.0,3.0
1313,H0AR03055,"WOMACK, STEVE",H,AR,3.0,REP,INCUMBENT,841949.13,389614.9,1,802234.66,1177768.89,257005.07,46621.0,303626.07,AR-3.0,1.0,1.0,1.0
1311,H4AR04048,"WESTERMAN, BRUCE MR.",H,AR,4.0,REP,INCUMBENT,672721.99,358584.29,1,92201.41,341989.11,285692.0,27819.99,313511.99,AR-4.0,1.0,1.0,1.0
1244,H4AS00036,"AMATA, AUMUA",H,AS,0.0,REP,INCUMBENT,71600.0,49858.67,0,0.8,21124.71,39925.0,2175.0,42100.0,AS-0.0,1.0,1.0,1.0
530,H4AS00069,"JAMIAS, MAPU S.",H,AS,0.0,DEM,CHALLENGER,11803.0,8243.0,0,0.0,3560.0,9200.0,0.0,8600.0,AS-0.0,2.0,2.0,2.0
1812,H6AS00031,"HUNKIN-FINAU, VAITINASA SALU",H,AS,,DEM,,41670.0,38167.44,0,1058.44,4561.0,19055.0,1500.0,20555.0,AS-nan,2.0,2.0,2.0
356,H6AZ01199,"O'HALLERAN, TOM",H,AZ,1.0,DEM,OPEN,1346755.75,1171700.46,1,0.0,167825.29,789144.16,157708.78,946852.94,AZ-1.0,1.0,2.0,1.0
1344,H2AZ04127,"BABEU, PAUL RAYMOND",H,AZ,1.0,REP,OPEN,1163029.81,1089624.74,0,0.0,63334.62,682327.51,316047.3,998374.81,AZ-1.0,2.0,1.0,2.0
1521,H4AZ01145,"KIEHNE, GARY",H,AZ,1.0,REP,OPEN,284461.09,770412.16,0,5188.33,690.37,263030.35,33513.82,296544.17,AZ-1.0,3.0,4.0,6.0
1575,H2AZ09035,"ROGERS, WENDY",H,AZ,1.0,REP,OPEN,429757.13,478034.32,0,53966.09,7152.78,457420.0,25287.13,482707.13,AZ-1.0,4.0,6.0,3.0
1455,H6AZ01173,"BENNETT, KEN",H,AZ,1.0,REP,OPEN,364892.48,430989.02,0,0.0,3903.8,348070.94,28926.16,376997.1,AZ-1.0,5.0,5.0,4.0
1500,H6AZ01215,"GOWAN , DAVID MATTHEW SR",H,AZ,1.0,REP,OPEN,406358.03,356815.97,0,0.0,49542.06,288221.76,43636.27,331858.03,AZ-1.0,6.0,3.0,5.0
1623,H6AZ01249,"BEGAY, CARLYLE WILMER",H,AZ,1.0,REP,OPEN,91815.12,89815.12,0,0.0,0.0,71860.0,7491.09,79351.09,AZ-1.0,7.0,7.0,7.0
1642,H6AZ01207,"REDD, SHAWN MR.",H,AZ,1.0,REP,OPEN,2725.0,36953.0,0,638.0,1734.0,2725.0,0.0,2725.0,AZ-1.0,8.0,9.5,9.0
1444,H6AZ01231,"MALNES, BRIAN EDWARD",H,AZ,1.0,IND,OPEN,30000.0,25000.0,0,0.0,5000.0,0.0,0.0,0.0,AZ-1.0,9.0,9.5,10.0
1676,H6AZ01223,"MALONEY, JAMES",H,AZ,1.0,DEM,OPEN,94476.11,24030.06,0,0.0,70446.05,63975.0,6496.11,70471.11,AZ-1.0,10.0,8.0,8.0
290,H2AZ08102,"MCSALLY, MARTHA E. MS.",H,AZ,2.0,REP,INCUMBENT,6510576.91,5790730.08,1,468505.92,1349307.96,3134261.94,2209876.81,5344138.75,AZ-2.0,1.0,1.0,1.0
514,H6AZ02189,"HEINZ, MATTHEW GERALD DR.",H,AZ,2.0,DEM,CHALLENGER,1409810.19,1316931.56,0,0.0,71878.63,927459.39,191138.86,1118598.25,AZ-2.0,2.0,2.0,2.0
941,H6AZ02171,"STEELE, VICTORIA L",H,AZ,2.0,DEM,CHALLENGER,238256.04,210686.82,0,0.0,28263.45,143893.86,86225.58,230119.44,AZ-2.0,3.0,3.0,3.0
